artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Bon Jovi,It's My Life,224493,FALSE,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,0.0000135,0.347,0.544,119.992,"rock, metal"
Eminem,The Real Slim Shady,284200,TRUE,2000,86,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,hip hop
Samantha Mumba,Gotta Tell You,201946,FALSE,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0,0.166,0.774,109.981,pop
Baha Men,Who Let The Dogs Out,198400,FALSE,2000,65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,R&B
Craig David,Fill Me In,257200,FALSE,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
Fuel,Hemorrhage (In My Hands),236866,FALSE,2000,49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,"rock, pop, metal"
Westlife,My Love,231760,FALSE,2000,68,0.491,0.593,0,-5.975,1,0.0255,0.098,0,0.257,0.328,144.142,pop
Erykah Badu,Bag Lady,348893,FALSE,2000,54,0.724,0.416,5,-8.964,0,0.0841,0.365,0,0.0969,0.578,151.181,"hip hop, R&B"
Lasgo,Something,220973,FALSE,2001,65,0.643,0.981,7,-6.644,0,0.0439,0.0271,0.0000893,0.11,0.38,140.01,pop
112,It's Over Now,264933,FALSE,2001,57,0.66,0.71,1,-4.541,1,0.0409,0.0106,0.00000701,0.0736,0.233,97.988,"hip hop, pop, R&B"
Afroman,Because I Got High,197760,TRUE,2001,68,0.802,0.341,7,-8.56,1,0.488,0.169,0,0.0783,0.849,166.01,hip hop
Jagged Edge,Promise,246720,FALSE,2000,56,0.751,0.568,5,-5.431,0,0.0872,0.136,0,0.0288,0.646,128.002,"hip hop, pop, R&B"
Enya,Only Time,218546,FALSE,2000,69,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,"World/Traditional, Folk/Acoustic"
Faith Hill,There You'll Be,222120,FALSE,2001,60,0.321,0.511,8,-7.77,1,0.0306,0.513,0,0.127,0.17,128.98,"pop, country"
Musiq Soulchild,Love,304666,FALSE,2000,0,0.569,0.385,1,-9.919,0,0.0499,0.342,0,0.0876,0.339,99.738,"pop, R&B"
Robbie Williams,Eternity,302760,FALSE,2001,48,0.469,0.316,10,-8.106,1,0.0265,0.504,0.00000604,0.0919,0.199,77.967,"pop, rock"
Trick Daddy,I'm a Thug,254400,TRUE,2001,59,0.933,0.561,11,-5.961,1,0.122,0.0275,0,0.102,0.586,139.976,"hip hop, pop"
Travis,Sing,228800,FALSE,2001,68,0.33,0.905,4,-5.047,1,0.0497,0.000233,0.00000814,0.0712,0.259,163.142,"rock, pop"
Christina Milian,When You Look At Me - Radio Edit,222546,FALSE,2001,60,0.955,0.839,3,-3.399,0,0.127,0.0934,0.000175,0.099,0.825,108.955,"hip hop, pop, R&B"
Scooter,The Logical Song,234116,FALSE,2013,46,0.527,0.933,6,-6.277,0,0.0382,0.00112,0.0362,0.425,0.493,144.043,"pop, Dance/Electronic"
Blue,One Love,207186,FALSE,2002,60,0.683,0.722,8,-4.039,0,0.0358,0.0243,0.000042,0.35,0.854,95.012,pop
Nelly,Hot In Herre,228240,TRUE,2002,75,0.956,0.745,11,-4.753,0,0.12,0.206,0,0.0615,0.912,107.075,"hip hop, pop, R&B"
Gareth Gates,Unchained Melody,233666,FALSE,2003,35,0.368,0.426,10,-8.049,1,0.0277,0.255,0.00000539,0.108,0.208,106.52,pop
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,FALSE,2005,63,0.66,0.707,6,-5.758,1,0.208,0.397,0,0.211,0.761,89.279,"hip hop, pop"
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,FALSE,2001,58,0.534,0.543,3,-6.857,1,0.0245,0.579,0,0.112,0.418,78.996,pop
Red Hot Chili Peppers,By the Way,216933,FALSE,2002,73,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,rock
Alanis Morissette,Hands Clean,269400,FALSE,2002,57,0.513,0.82,7,-5.428,1,0.0299,0.00192,0.00000283,0.504,0.52,99.952,"pop, Folk/Acoustic"
Coldplay,In My Place,226680,FALSE,2002,72,0.424,0.588,9,-5.455,1,0.0278,0.0553,0.00000495,0.298,0.193,144.636,"rock, pop"
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,TRUE,2004,77,0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,hip hop
Evanescence,Bring Me To Life,235893,FALSE,2003,79,0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,metal
Aaliyah,Miss You - Main,245240,FALSE,2002,36,0.602,0.34,10,-9.867,1,0.0375,0.618,0,0.234,0.511,109.598,"hip hop, pop, R&B"
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,FALSE,2016,52,0.527,0.808,1,-4.749,1,0.295,0.176,0,0.169,0.907,87.025,"hip hop, pop, R&B"
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,236506,TRUE,2003,67,0.894,0.404,9,-5.913,0,0.13,0.453,0.00000157,0.0801,0.759,102.009,"hip hop, pop"
Nelly,Air Force Ones,304000,TRUE,2002,61,0.784,0.459,4,-9.74,0,0.317,0.0847,0,0.079,0.618,164.062,"hip hop, pop, R&B"
Electric Six,Danger! High Voltage - Soulchild Radio Mix,214600,FALSE,2003,0,0.66,0.698,11,-4.722,0,0.0302,0.0000192,0.166,0.0517,0.511,123.005,rock
Audioslave,Like a Stone,293960,FALSE,2002,75,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,"rock, metal"
The Roots,The Seed (2.0),267933,TRUE,2002,63,0.758,0.957,7,-2.281,1,0.0357,0.039,0,0.133,0.966,111.121,hip hop
Matchbox Twenty,Unwell,228706,FALSE,2002,63,0.256,0.788,6,-5.263,0,0.0403,0.0298,0,0.707,0.429,80.718,"pop, rock"
Will Young,Leave Right Now,214733,FALSE,2003,55,0.641,0.445,6,-8.674,1,0.0368,0.145,0,0.108,0.383,81.931,pop
